 	Area	Mean	Min	Max	X	Y
1	0	0	0	0	790.667	523.667
2	0	4	4	4	786.667	520.333
3	0	6	6	6	794.000	499.333
4	0	4	4	4	791.333	498.000
5	0	2	2	2	791.000	495.000
6	0	2	2	2	783.667	488.333
7	0	0	0	0	785.333	479.333
8	0	0	0	0	782.000	479.333
9	0	2	2	2	783.667	464.333
10	0	7	7	7	790.333	463.667
11	0	0	0	0	791.000	444.667
12	0	0	0	0	795.000	440.333
13	0	0	0	0	795.333	437.000
14	0	4	4	4	792.333	436.000
15	0	0	0	0	792.333	430.000
16	0	0	0	0	784.667	429.333
17	0	7	7	7	783.667	426.333
18	0	0	0	0	779.667	427.000
19	0	0	0	0	777.667	430.333
20	0	0	0	0	770.000	430.667
21	0	0	0	0	769.667	438.333
22	0	6	6	6	763.667	438.333
23	0	7	7	7	761.667	440.667
24	0	3	3	3	766.000	445.667
25	0	0	0	0	759.333	446.667
26	0	0	0	0	758.667	450.333
27	0	4	4	4	748.667	450.000
28	0	0	0	0	749.667	456.333
29	0	0	0	0	755.333	459.000
30	0	3	3	3	756.333	464.000
31	0	7	7	7	756.333	470.000
32	0	3	3	3	750.000	470.000
33	0	1	1	1	746.333	473.000
34	0	0	0	0	734.667	476.333
35	0	1	1	1	736.000	480.333
36	0	6	6	6	732.333	490.000
37	0	7	7	7	729.000	509.667
38	0	0	0	0	724.333	509.333
39	0	0	0	0	721.333	525.667
40	0	0	0	0	721.000	548.333
41	0	0	0	0	771.333	559.333
42	0	0	0	0	779.667	539.667
