 	Area	Mean	Min	Max	X	Y
1	0	0	0	0	770.333	430.333
2	0	0	0	0	770.000	425.000
3	0	0	0	0	780.667	420.667
4	0	4	4	4	777.333	409.667
5	0	0	0	0	778.667	400.333
6	0	0	0	0	784.667	400.000
7	0	0	0	0	785.000	384.333
8	0	0	0	0	802.667	385.000
9	0	0	0	0	803.667	408.000
10	0	4	4	4	812.333	407.333
11	0	0	0	0	817.333	414.000
12	0	4	4	4	822.000	414.333
13	0	0	0	0	828.000	427.333
14	0	7	7	7	832.000	428.333
15	0	0	0	0	828.333	435.667
16	0	7	7	7	820.000	437.000
17	0	2	2	2	817.667	440.333
18	0	7	7	7	817.667	451.000
19	0	0	0	0	810.667	451.333
20	0	0	0	0	809.667	453.667
21	0	1	1	1	805.333	453.667
22	0	0	0	0	803.000	457.333
23	0	6	6	6	789.667	454.000
24	0	2	2	2	790.333	444.000
25	0	0	0	0	795.333	440.333
26	0	0	0	0	795.000	437.333
27	0	4	4	4	792.333	436.000
28	0	0	0	0	791.667	429.667
29	0	0	0	0	784.333	429.000
30	0	6	6	6	781.667	426.667
31	0	0	0	0	778.333	427.000
32	0	0	0	0	777.333	430.000
