 	Area	Mean	Min	Max	X	Y
1	0	5	5	5	817.000	450.500
2	0	0	0	0	818.000	437.250
3	0	0	0	0	827.750	435.750
4	0	0	0	0	830.750	427.750
5	0	0	0	0	838.750	424.250
6	0	0	0	0	843.500	430.000
7	0	7	7	7	851.250	431.000
8	0	4	4	4	852.000	426.250
9	0	0	0	0	860.250	423.750
10	0	0	0	0	855.250	417.750
11	0	0	0	0	868.500	408.250
12	0	0	0	0	880.500	420.250
13	0	0	0	0	901.000	396.500
14	0	0	0	0	905.750	453.250
15	0	0	0	0	906.250	473.250
16	0	0	0	0	888.750	474.500
17	0	1	1	1	888.250	482.750
18	0	7	7	7	860.000	483.000
19	0	2	2	2	859.250	477.250
20	0	7	7	7	845.250	477.000
21	0	0	0	0	843.250	475.000
22	0	7	7	7	838.000	475.000
23	0	0	0	0	836.250	471.000
24	0	6	6	6	823.000	472.000
25	0	4	4	4	821.500	476.250
26	0	5	5	5	806.250	476.250
27	0	0	0	0	804.750	479.500
28	0	0	0	0	782.000	479.000
29	0	0	0	0	784.500	464.750
30	0	7	7	7	790.250	464.000
31	0	0	0	0	790.750	455.000
32	0	0	0	0	802.750	457.250
33	0	0	0	0	805.250	454.500
34	0	1	1	1	809.000	454.500
35	0	0	0	0	811.750	451.500
