 	Area	Mean	Min	Max	X	Y
1	0	0	0	0	721.000	469.667
2	0	6	6	6	723.667	466.333
3	0	0	0	0	719.667	465.333
4	0	0	0	0	726.667	441.667
5	0	3	3	3	733.333	440.333
6	0	1	1	1	733.667	447.000
7	0	0	0	0	742.333	447.667
8	0	0	0	0	744.333	446.333
9	0	0	0	0	748.333	449.333
10	0	0	0	0	749.000	456.667
11	0	4	4	4	755.000	458.667
12	0	0	0	0	756.667	463.333
13	0	0	0	0	756.000	469.000
14	0	0	0	0	750.667	469.333
15	0	3	3	3	744.000	474.000
16	0	0	0	0	736.000	475.667
17	0	2	2	2	733.000	472.667
18	0	0	0	0	729.333	470.333
