 	Area	Mean	Min	Max	X	Y
1	0	7	7	7	693.667	543.333
2	0	6	6	6	693.667	530.667
3	0	3	3	3	698.333	519.333
4	0	2	2	2	694.000	516.333
5	0	7	7	7	699.000	503.000
6	0	0	0	0	698.333	500.000
7	0	7	7	7	701.000	493.333
8	0	1	1	1	701.333	489.000
9	0	0	0	0	708.333	479.000
10	0	0	0	0	709.667	470.667
11	0	0	0	0	720.667	469.000
12	0	2	2	2	724.667	471.333
13	0	2	2	2	730.333	471.000
14	0	0	0	0	735.667	479.667
15	0	7	7	7	730.333	490.667
16	0	0	0	0	727.667	509.000
17	0	3	3	3	724.333	508.333
18	0	0	0	0	721.667	525.333
19	0	3	3	3	722.000	549.000
20	0	0	0	0	717.667	547.667
21	0	3	3	3	716.000	533.333
22	0	0	0	0	704.667	530.333
23	0	6	6	6	701.000	544.000
