 	Area	Mean	Min	Max	X	Y
1	0	0	0	0	770.667	558.000
2	0	0	0	0	778.333	542.000
3	0	0	0	0	790.333	524.000
4	0	4	4	4	786.667	520.000
5	0	6	6	6	794.000	499.667
6	0	7	7	7	789.667	498.000
7	0	2	2	2	791.000	494.667
8	0	1	1	1	784.333	489.000
9	0	0	0	0	784.333	480.000
10	0	1	1	1	803.333	480.000
11	0	0	0	0	805.667	476.000
12	0	4	4	4	821.333	476.333
13	0	0	0	0	823.333	471.333
14	0	1	1	1	836.333	470.667
15	0	3	3	3	836.333	474.333
16	0	4	4	4	843.667	474.333
17	0	7	7	7	847.000	477.333
18	0	2	2	2	859.333	477.333
19	0	4	4	4	859.333	482.333
20	0	0	0	0	864.667	483.000
21	0	6	6	6	864.000	487.333
22	0	0	0	0	845.333	512.333
23	0	7	7	7	855.000	515.667
24	0	2	2	2	849.000	520.000
25	0	3	3	3	848.000	525.667
26	0	0	0	0	843.000	531.333
27	0	2	2	2	842.667	538.000
28	0	6	6	6	839.000	541.000
29	0	7	7	7	838.000	544.333
30	0	0	0	0	834.000	548.667
31	0	0	0	0	831.667	561.000
32	0	0	0	0	828.333	572.000
33	0	4	4	4	825.000	578.333
34	0	0	0	0	779.000	557.333
35	0	7	7	7	776.000	560.333
